"4th St & Massachusetts Ave NW,""Washington, D.C.""",38.900221,-77.016175
"3rd & D St SE,""Washington, D.C.""",38.885072,-77.002041
"Potomac & Pennsylvania Ave SE,""Washington, D.C.""",38.880568,-76.985841
"14th & D St SE,""Washington, D.C.""",38.884104,-76.985518
"8th & Eye St SE / Barracks Row,""Washington, D.C.""",38.907231,-77.036464
"7th & Water St SW / SW Waterfront,""Washington, D.C.""",38.878381,-77.023157
"Eastern Market / 7th & North Carolina Ave SE,""Washington, D.C.""",38.886307,-76.998905
"13th & H St NE,""Washington, D.C.""",38.900198,-76.988312
"Eastern Market Metro / Pennsylvania Ave & 7th St SE,""Washington, D.C.""",38.883414,-76.996178
"3rd & H St NE,""Washington, D.C.""",38.900167,-77.002056
"Bladensburg Rd & Benning Rd NE,""Washington, D.C.""",38.900175,-76.98325
"4th & East Capitol St NE,""Washington, D.C.""",38.889807,-77.000577
"Lincoln Park / 13th & East Capitol St NE ,""Washington, D.C.""",38.889949,-76.988307
"5th & F St NW,""Washington, D.C.""",38.897333,-76.99951
"13th & D St NE,""Washington, D.C.""",38.894777,-76.98831
"Columbus Circle / Union Station,""Washington, D.C.""",38.896526,-77.005155
"North Capitol St & F St NW,""Washington, D.C.""",38.897326,-77.009122
"Good Hope & Naylor Rd SE,""Washington, D.C.""",38.860658,-76.968779
"Randle Circle & Minnesota Ave NE,""Washington, D.C.""",38.878541,-76.961129
"Minnesota Ave Metro/DOES,""Washington, D.C.""",38.907231,-77.036464
"Nannie Helen Burroughs & Minnesota Ave NE,""Washington, D.C.""",38.90189,-76.942642
"Benning Branch Library,""Washington, D.C.""",38.894099,-76.947765
"Anacostia Metro,""Washington, D.C.""",38.862117,-76.995325
"Good Hope Rd & MLK Ave SE,""Washington, D.C.""",38.86744,-76.988609
"Anacostia Library,""Washington, D.C.""",38.865675,-76.978991
"Pennsylvania & Minnesota Ave SE,""Washington, D.C.""",38.873756,-76.971475
"Alta Bicycle Share Demonstration Station,""Washington, D.C.""",38.907231,-77.036464
"19th & New Hampshire Ave NW,""Washington, D.C.""",38.944627,-77.018133
"Alta Warehouse Station,""Washington, D.C.""",38.907231,-77.036464
"Alta Bicycle Share Warehouse,""Washington, D.C.""",38.907231,-77.036464
"Lynn & 19th St North,""Washington, D.C.""",38.897112,-77.07085
"Rosslyn Metro / Wilson Blvd & Ft Myer Dr,""Washington, D.C.""",38.895197,-77.072359
"Clarendon Blvd & Pierce St,""Washington, D.C.""",38.893447,-77.076587
"N Rhodes & 16th St N,""Washington, D.C.""",38.891862,-77.079257
"Metro Center / 12th & G St NW,""Washington, D.C.""",25.782969,-80.132285
"14th & D St NW / Ronald Reagan Building,""Washington, D.C.""",38.907231,-77.036464
"7th & F St NW / National Portrait Gallery,""Washington, D.C.""",38.907231,-77.036464
"17th & K St NW / Farragut Square,""Washington, D.C.""",38.901935,-77.038956
"4th & D St NW / Judiciary Square,""Washington, D.C.""",39.05412,-84.899331
"Branch & Pennsylvania Ave SE,""Washington, D.C.""",38.869291,-76.960383
"Fairfax Village,""Washington, D.C.""",38.863887,-76.950623
"Birthday Station,""Washington, D.C.""",38.907231,-77.036464
"Court House Metro / Wilson Blvd & N Uhle St,""Washington, D.C.""",38.907231,-77.036464
"Wilson Blvd & N Edgewood St,""Washington, D.C.""",38.889199,-77.091796
"Wilson Blvd & Franklin Rd,""Washington, D.C.""",38.890426,-77.088703
"N Fillmore St & Clarendon Blvd,""Washington, D.C.""",38.884441,-77.092793
"N Highland St & Wilson Blvd,""Washington, D.C.""",38.887452,-77.094995
"Columbia Rd & Belmont St NW,""Washington, D.C.""",38.92059,-77.043944
"Columbia Rd & Georgia Ave NW,""Washington, D.C.""",38.928126,-77.023104
"California St & Florida Ave NW,""Washington, D.C.""",38.917779,-77.040422
"17th & Rhode Island Ave NW,""Washington, D.C.""",38.906544,-77.038501
"Thomas Circle,""Washington, D.C.""",38.906551,-77.03216
"18th St & Pennsylvania Ave NW,""Washington, D.C.""",38.899583,-77.041694
"4th & E St SW,""Washington, D.C.""",38.883221,-77.000577
"7th & R St NW / Shaw Library,""Washington, D.C.""",38.907231,-77.036464
"M St & Pennsylvania Ave NW,""Washington, D.C.""",38.905229,-77.05796
"3000 Connecticut Ave NW / National Zoo,""Washington, D.C.""",38.927474,-77.044941
"9th & Upshur St NW,""Washington, D.C.""",38.941879,-77.025066
"1st & Rhode Island Ave NW,""Washington, D.C.""",38.915672,-77.012158
"11th & H St NE,""Washington, D.C.""",38.900236,-76.991531
"6th & H St NE,""Washington, D.C.""",38.900248,-76.998446
"3rd & G St SE,""Washington, D.C.""",38.881271,-77.002043
"15th St & Massachusetts Ave SE,""Washington, D.C.""",38.887075,-76.983644
"Benning Rd & East Capitol St NE / Benning Rd Metro,""Washington, D.C.""",38.890418,-76.937662
"Anacostia Ave & Benning Rd NE / River Terrace ,""Washington, D.C.""",38.892056,-76.957475
"Congress Heights Metro,""Washington, D.C.""",38.845379,-76.98786
"Clarendon Blvd & N Fillmore St,""Washington, D.C.""",38.887882,-77.093134
"Clarendon Metro / Wilson Blvd & N Highland St,""Washington, D.C.""",38.97499,-77.023746
"Virginia Square Metro / N Monroe St & 9th St N,""Washington, D.C.""",38.914202,-76.993234
"Virginia Square,""Washington, D.C.""",38.885801,-77.105367
"Central Library / N Quincy St & 10th St N,""Washington, D.C.""",38.936859,-76.993538
"Central Library,""Washington, D.C.""",45.519225,-122.682471
"Washington Blvd & 10th St N,""Washington, D.C.""",35.554471,-77.057638
"20th & O St NW / Dupont South,""Washington, D.C.""",38.908573,-77.0449
"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,""Washington, D.C.""",38.907231,-77.036464
"Maryland & Independence Ave SW,""Washington, D.C.""",38.887557,-77.018484
"Jefferson Dr & 14th St SW,""Washington, D.C.""",38.888602,-77.031943
"39th & Calvert St NW / Stoddert,""Washington, D.C.""",38.907231,-77.036464
"4th St & Rhode Island Ave NE,""Washington, D.C.""",38.919813,-77.000576
"1st & Washington Hospital Center NW,""Washington, D.C.""",33.448242,-112.075069
"D St & Maryland Ave NE,""Washington, D.C.""",38.894777,-76.996501
"1st & K St SE,""Washington, D.C.""",38.878394,-77.005882
"Fairfax Dr & Wilson Blvd,""Washington, D.C.""",38.885651,-77.097397
"Key Blvd & N Quinn St,""Washington, D.C.""",38.896048,-77.078434
"N Veitch & Key Blvd,""Washington, D.C.""",38.89338,-77.086121
"N Veitch  & 20th St N,""Washington, D.C.""",38.896811,-77.086444
